data,label,angle
"[0.65624815 0.24947679 0.24904849 0.6486126  0.22332062 0.19759601
 0.648912   0.22406586 0.24840261 0.67517215 0.21064968 0.26857394
 0.66466707 0.19500461 0.32661483 0.67520535 0.24080285 0.3337283
 0.6938301  0.2414105  0.23998183 0.675679   0.26287004 0.18748143
 0.6860978  0.26684147 0.1543545  0.7223297  0.24795526 0.10981459
 0.6981221  0.27966568 0.12334127 0.6555975  0.43317288 0.5701954
 0.6716155  0.43495825 0.5559956  0.566795   0.567174   0.8294367
 0.5640697  0.5725032  0.76497793 0.6578468  0.69387454 0.5222081
 0.670905   0.69959605 0.5810344 ]",situp,"78.0723876953125,69.23488235473633,31.47417449951172,27.71249771118164,60.06801986694336,73.49997329711914"
"[0.68208516 0.19407044 0.6167544  0.6360385  0.22155431 0.7554329
 0.64311004 0.18629234 0.5187793  0.5921179  0.30613214 0.72487843
 0.6049468  0.22620001 0.48527995 0.59711355 0.43208238 0.68518543
 0.60398424 0.25784522 0.3712507  0.5449325  0.68401116 0.79568624
 0.7093989  0.22913544 0.21468873 0.7972192  0.6685837  0.54090637
 0.8601926  0.23291615 0.6471549  0.61389846 0.73379123 0.3822479
 0.59710664 0.6581279  0.457647   0.7023697  0.8810424  0.30952704
 0.797838   0.80604756 0.15668756 0.89143145 0.8463628  0.06449864
 0.8024726  0.71436995 0.07844326]",pushup,"56.50738525390625,110.60398864746094,54.59770965576172,27.813980102539062,163.32873439788818,74.79870891571045"
"[0.74151343 0.72595    0.4473739  0.7057316  0.73208433 0.40852973
 0.7007571  0.7258875  0.6377533  0.6541972  0.6778181  0.4304481
 0.65129954 0.66120917 0.6490389  0.676731   0.5895824  0.2759605
 0.6257874  0.5432071  0.5340616  0.7703883  0.47650167 0.08756731
 0.59260833 0.3472788  0.763521   0.8128593  0.47076494 0.1473411
 0.8625767  0.33731395 0.47101918 0.7104979  0.28261113 0.4133499
 0.6520223  0.2442245  0.41502473 0.7861151  0.0668769  0.34338838
 0.7377485  0.03031071 0.4328298  0.8345942  0.06214608 0.06661807
 0.87714034 0.16148442 0.01571722]",pushup,"68.57823944091797,65.11033630371094,16.82379150390625,13.038803100585938,97.4975471496582,42.67465257644653"
"[0.88257396 0.0676179  0.49001154 0.8609387  0.06201884 0.50315905
 0.861302   0.06355777 0.4910358  0.82166874 0.0959236  0.7100589
 0.8227674  0.09529249 0.66420406 0.8136776  0.16210353 0.62526375
 0.80247116 0.15796985 0.35671088 0.6822011  0.27890107 0.77224255
 0.6760599  0.2776574  0.5579615  0.9023715  0.30225426 0.8207264
 0.8780435  0.28373048 0.24791789 0.75146604 0.41829956 0.71974826
 0.7480859  0.4224622  0.5790974  0.82097614 0.6079305  0.75249404
 0.80946267 0.604358   0.47019404 0.7652024  0.80230236 0.67361706
 0.7607565  0.7894846  0.7404209 ]",pushup,"33.38611602783203,36.14112854003906,30.265121459960938,33.77948760986328,134.8427734375,132.3289794921875"
"[0.4988478  0.5499155  0.52278787 0.48386198 0.5444451  0.39492482
 0.48574936 0.5442347  0.4732959  0.48114362 0.51373386 0.56078696
 0.4845846  0.5107029  0.5494856  0.52346784 0.49694735 0.7076847
 0.5355283  0.4878917  0.7504101  0.5600972  0.5943089  0.35390878
 0.5830638  0.60284    0.46564487 0.5305401  0.649355   0.32807684
 0.5203684  0.6728325  0.4554019  0.7206567  0.48268706 0.60495245
 0.7337239  0.48919612 0.7079657  0.60309    0.6125912  0.58565474
 0.6099511  0.6157358  0.6762733  0.71106964 0.69825566 0.46187466
 0.70788234 0.6992281  0.49000737]",situp,"93.91710662841795,93.71958923339844,133.98958587646484,43.71774291992188,64.31916809082031,48.85096740722656"
"[0.27969185 0.18371387 0.5336001  0.25704908 0.17782792 0.779257
 0.25497383 0.17857318 0.74602914 0.22212638 0.20563263 0.8015623
 0.21680044 0.21016684 0.6098459  0.27129772 0.25682336 0.60942096
 0.21632145 0.3275466  0.730087   0.47626787 0.23040442 0.8327105
 0.41994512 0.34436703 0.554112   0.70238024 0.20126386 0.6671422
 0.5657747  0.33482793 0.7716985  0.35273543 0.46593124 0.6301323
 0.31703436 0.5107048  0.6774236  0.5426304  0.60960543 0.73914534
 0.51117975 0.63711435 0.66153055 0.70291775 0.7994966  0.8548677
 0.65556467 0.80765384 0.8051417 ]",pushup,"16.6790771484375,12.721160888671877,28.12653350830078,31.610321044921875,171.53524017333984,0.0008554458618164"
"[0.4860092  0.79093254 0.6731988  0.48702317 0.80592    0.62141
 0.47973922 0.7944507  0.6426466  0.5141643  0.8141452  0.63956726
 0.49118108 0.7957819  0.44061962 0.5532611  0.7984477  0.7155954
 0.4984874  0.69667876 0.54802275 0.64956695 0.7723658  0.85064244
 0.5223755  0.5764801  0.7082664  0.5219089  0.727769   0.55763626
 0.47852457 0.616379   0.17377868 0.6509412  0.5554737  0.48544207
 0.6019081  0.494769   0.3968264  0.51035553 0.44338343 0.5559457
 0.470844   0.3856042  0.79900426 0.7587104  0.29080305 0.7221019
 0.6502927  0.24052808 0.6981698 ]",situp,"101.25471496582033,109.86922454833984,77.33078002929688,73.33535766601562,36.46126556396485,145.58980178833008"
"[0.496004   0.63218427 0.2346653  0.4841784  0.6498169  0.2907367
 0.48440945 0.63476104 0.37454414 0.47947443 0.6312801  0.21475872
 0.47887006 0.59753513 0.40500286 0.50112927 0.5559805  0.49301082
 0.4959107  0.54662484 0.4614626  0.54567134 0.61465675 0.12750074
 0.5383684  0.55984014 0.32208017 0.5631893  0.6705862  0.08509077
 0.554288   0.65334284 0.09409285 0.6164004  0.48038796 0.480521
 0.6158493  0.46662077 0.5201251  0.6261068  0.5753795  0.34666252
 0.6204829  0.58179533 0.39425844 0.71513647 0.5181567  0.56166303
 0.719315   0.51460207 0.46246085]",squat,"58.09308624267578,63.10389709472656,58.59886932373047,62.57823181152344,63.048377990722656,19.81134796142578"
"[0.5582535  0.34563294 0.20230977 0.55539125 0.32840833 0.22410071
 0.55465245 0.32884303 0.18219402 0.5680124  0.32865444 0.20757015
 0.5682231  0.3198226  0.16962448 0.5572494  0.34337813 0.184819
 0.55420005 0.36674172 0.17943758 0.5418724  0.37419283 0.17324053
 0.5464186  0.3737973  0.2358583  0.5935934  0.35468975 0.13886443
 0.5726879  0.36039618 0.20710814 0.574462   0.50070107 0.2927196
 0.5737524  0.50918233 0.28254402 0.59842014 0.50041956 0.31327617
 0.5864643  0.50968826 0.20700908 0.6034689  0.49696136 0.09895845
 0.5984506  0.62982607 0.34890285]",situp,"82.02323913574219,33.7364501953125,79.90489959716797,95.57062530517578,15.171070098876951,42.81947898864746"
"[0.37206572 0.4769025  0.6913045  0.35478362 0.47589242 0.4963585
 0.35654393 0.45909223 0.52774    0.36522353 0.45284456 0.5281617
 0.37242422 0.4143566  0.8496532  0.4329947  0.47263685 0.61531746
 0.4468154  0.3768723  0.65029246 0.5326604  0.5244581  0.36140224
 0.5707358  0.38636452 0.7162471  0.55867267 0.54501486 0.35781163
 0.59850657 0.43783665 0.35187325 0.6340009  0.44649082 0.5590772
 0.64858043 0.38589063 0.68537116 0.5519654  0.5607361  0.36206484
 0.56390476 0.54240924 0.29890874 0.6671226  0.69997925 0.68521136
 0.6819131  0.68573976 0.39276433]",situp,"67.8787727355957,75.27229309082031,115.8538703918457,46.90803527832031,57.27154159545898,10.846124649047852"
"[0.3589034  0.48359275 0.47079796 0.347014   0.49293387 0.560528
 0.34717426 0.47477657 0.54178184 0.35061032 0.503953   0.65710515
 0.3506503  0.46274614 0.58275163 0.37481984 0.51755184 0.5523381
 0.381016   0.44456655 0.5436397  0.43866146 0.504366   0.3572103
 0.43862945 0.45150858 0.28962368 0.45869452 0.47764462 0.28030208
 0.45416632 0.4571368  0.2488616  0.5023004  0.5101487  0.33834016
 0.50220287 0.46836144 0.26436624 0.5614872  0.508799   0.14217918
 0.5619231  0.52014726 0.12303326 0.6343919  0.6127673  0.37395647
 0.6323486  0.6210635  0.35424635]",situp,"14.160415649414062,123.73257446289062,29.82124328613281,2.0172576904296875,13.04227066040039,41.47123432159424"
"[0.1440446  0.38458014 0.87570405 0.11330319 0.41580287 0.9233233
 0.11649694 0.37280503 0.7954348  0.13346237 0.49803844 0.80116016
 0.1295034  0.39406738 0.7023051  0.2593284  0.6065311  0.9175699
 0.2731411  0.37097895 0.93236625 0.40280268 0.78554165 0.91581464
 0.4340412  0.3938333  0.64826816 0.26475033 0.8084189  0.8893186
 0.30201676 0.28010395 0.89722604 0.6043277  0.6506704  0.87624776
 0.6197753  0.5008792  0.866329   0.61674696 0.66249824 0.8634852
 0.6295854  0.2600216  0.9264642  0.9260186  0.73946047 0.74173963
 0.9102617  0.34477058 0.9141905 ]",squat,"75.53086853027344,29.628463745117188,71.78898620605469,36.31182861328125,32.65824222564697,119.30241394042967"
"[0.05742733 0.75406814 0.5690424  0.02341561 0.7454925  0.76280564
 0.01955853 0.72425354 0.6289265  0.03597144 0.67359036 0.55893546
 0.03279341 0.63464403 0.78099036 0.26276124 0.6657468  0.8454275
 0.14833708 0.5681475  0.88103837 0.5190249  0.6691645  0.51628304
 0.53658193 0.55119026 0.59938335 0.83396316 0.6900367  0.91928333
 0.8866198  0.54825497 0.85754335 0.46233708 0.42928952 0.49230513
 0.43523914 0.35845402 0.74064165 0.62751585 0.28335884 0.7196836
 0.6040575  0.22402327 0.6507504  0.7374684  0.18693882 0.7705111
 0.7488199  0.10181639 0.77514863]",pushup,"1.6402435302734375,0.21136474609375,2.3678131103515625,8.375137329101562,2.02044615149498,3.027596473693848"
"[0.67805344 0.20856793 0.28044978 0.62746817 0.21702322 0.43999577
 0.63800186 0.1825849  0.47488657 0.53241736 0.27287596 0.5197443
 0.5385295  0.19860303 0.39145553 0.48897347 0.43673316 0.6135118
 0.49355835 0.2625891  0.5144783  0.5448809  0.67424935 0.7547067
 0.6283606  0.2666662  0.47542602 0.8958602  0.6265911  0.51784605
 0.8221487  0.26020372 0.801627   0.62100506 0.6685377  0.48194584
 0.6426799  0.59167004 0.2888169  0.65293247 0.7815704  0.37895298
 0.6435793  0.74950594 0.17296086 0.573315   0.86798006 0.8000133
 0.57695127 0.84524    0.29431415]",pushup,"35.16324234008789,58.43025970458984,24.05096435546875,13.892082214355469,176.35760855674744,95.51269006729126"
"[0.37315506 0.6221456  0.7147045  0.3526518  0.63876337 0.7302846
 0.3508266  0.63989663 0.77714014 0.29765427 0.6175614  0.7158725
 0.2973197  0.6151769  0.80328137 0.3151159  0.513353   0.8289668
 0.33370927 0.52372813 0.78381693 0.45486706 0.5977477  0.4547079
 0.45711428 0.60558957 0.760877   0.5903884  0.7083215  0.4338697
 0.5970015  0.7196645  0.6726642  0.5159795  0.2105282  0.76532465
 0.53134304 0.20644411 0.84197646 0.45535442 0.48640016 0.6065852
 0.45202142 0.4799592  0.4865129  0.63798505 0.3461359  0.6803332
 0.6574803  0.34453794 0.82156265]",squat,"40.43787384033203,40.08074188232422,15.745857238769531,21.162094116210938,5.637947082519531,8.08403205871582"
"[0.50105834 0.2289894  0.67431605 0.5162744  0.21569252 0.6143646
 0.52099824 0.21196797 0.79716957 0.56104016 0.23093203 0.77236825
 0.5735848  0.22395234 0.7929101  0.531053   0.3227614  0.66224337
 0.6171594  0.2904393  0.7284949  0.5173779  0.45223856 0.37582415
 0.61088103 0.44877595 0.24233592 0.47932276 0.42476517 0.19937487
 0.53828484 0.4417404  0.05164722 0.55533373 0.6003003  0.48741028
 0.63434446 0.5984562  0.7699669  0.40266973 0.7695456  0.8475008
 0.4373393  0.7817588  0.60670966 0.6383629  0.88840276 0.58000106
 0.6609385  0.9064463  0.77926856]",situp,"107.9177703857422,105.2900848388672,50.25685119628906,47.051177978515625,86.73524475097656,60.20220184326172"
"[0.37957045 0.24826494 0.6501328  0.36659402 0.23277566 0.60273767
 0.36142913 0.24002355 0.56076944 0.34452224 0.24436268 0.542997
 0.33122966 0.25929153 0.74779606 0.37408042 0.292626   0.8158858
 0.3231118  0.35905486 0.57140344 0.5719455  0.32426232 0.7291786
 0.5190611  0.399133   0.5444919  0.7478782  0.34247243 0.88655114
 0.653115   0.42866066 0.86421496 0.45562556 0.47055507 0.6291984
 0.42661467 0.51757175 0.6966692  0.58132887 0.6481675  0.8382707
 0.54567885 0.6617264  0.72562355 0.6707525  0.82940346 0.5415835
 0.64823425 0.8262542  0.7161995 ]",pushup,"7.618331909179687,9.026351928710938,6.4125823974609375,10.66650390625,0.8625602722167969,3.1746201515197754"
"[0.35830897 0.48390466 0.48158062 0.3477415  0.49250335 0.583487
 0.34767827 0.4762219  0.54445153 0.35283157 0.4994162  0.5676223
 0.35273606 0.46347505 0.59658706 0.37576476 0.513233   0.50700897
 0.37751597 0.4485139  0.5845751  0.4324028  0.5056559  0.36136398
 0.42396715 0.44899014 0.2514324  0.44177714 0.47996354 0.22876336
 0.44000968 0.46423635 0.20387056 0.491205   0.5089327  0.39398685
 0.4873194  0.46179917 0.3127816  0.5625557  0.50560606 0.15981893
 0.5599444  0.5027929  0.1522677  0.6286803  0.61483526 0.24898806
 0.6245307  0.6222459  0.2548172 ]",situp,"32.15776062011719,118.5202178955078,22.544097900390625,0.53607177734375,42.95469284057617,62.33464241027832"
"[0.6143809  0.7418645  0.69740814 0.5724649  0.7432858  0.7057986
 0.5701569  0.7372552  0.6645099  0.5207691  0.68061745 0.7478575
 0.5153987  0.6635706  0.7095071  0.5654718  0.6081211  0.41325957
 0.49171236 0.5499276  0.59390247 0.6354316  0.5854704  0.17525928
 0.594176   0.3327406  0.7746127  0.7304976  0.5688561  0.17812808
 0.811729   0.3311919  0.5173248  0.63735634 0.30034816 0.28553095
 0.57063997 0.2609514  0.25515777 0.71406317 0.06583908 0.20374052
 0.68958074 0.05521642 0.27157578 0.7651817  0.08962484 0.01816551
 0.70393044 0.06721805 0.02111292]",pushup,"80.12527465820312,83.15982055664062,14.756828308105469,4.966148376464844,64.33530375361443,8.02707576751709"
"[0.28582337 0.7796436  0.6373602  0.24593168 0.79766333 0.6685021
 0.23955157 0.7752928  0.7930962  0.18900958 0.7449386  0.57546127
 0.17218302 0.70321065 0.6800229  0.34531096 0.6901855  0.7597387
 0.21727349 0.5805651  0.8296772  0.5890562  0.6731616  0.78726876
 0.5604257  0.5249726  0.76180625 0.83053035 0.68743616 0.8474162
 0.89029026 0.5468733  0.85140854 0.50794584 0.43503365 0.70570046
 0.4717993  0.3648142  0.8040664  0.6530869  0.28497908 0.66774344
 0.62960577 0.219855   0.84757876 0.72708744 0.19078071 0.8560912
 0.7417645  0.10767096 0.94800735]",pushup,"2.4362335205078125,5.89385986328125,2.283676147460937,11.532798767089844,166.99927616119385,172.6217339038849"
"[0.8879343  0.07753966 0.4576442  0.84164405 0.0554864  0.6435791
 0.8428371  0.0564939  0.65694803 0.7563821  0.11313733 0.6577555
 0.7564266  0.11186187 0.67763424 0.6633727  0.23262583 0.6224619
 0.7066079  0.22241554 0.3252985  0.6412305  0.36579418 0.5885481
 0.7911175  0.357341   0.14329332 0.9655396  0.33582452 0.90034133
 0.961527   0.32675725 0.19527858 0.6796772  0.6069157  0.6446376
 0.69337094 0.5994815  0.71156186 0.7234042  0.91833216 0.39073303
 0.7163449  0.8755286  0.452314   0.7016865  0.96801627 0.1753039
 0.68700206 0.96914893 0.17735268]",pushup,"22.15967559814453,31.603759765625,6.76800537109375,5.498550415039063,111.88601493835448,75.27993106842041"
"[0.12683666 0.23566808 0.7472516  0.07200941 0.260537   0.896339
 0.08204537 0.21750414 0.70095485 0.04625812 0.33929852 0.77644825
 0.07104024 0.2515383  0.6577829  0.08803926 0.4700714  0.80120146
 0.21689107 0.2769309  0.8721698  0.46987817 0.6139007  0.17532225
 0.5143551  0.27176252 0.9032963  0.81800807 0.6421375  0.31909928
 0.85138893 0.24360593 0.87203133 0.37955046 0.71637815 0.3861839
 0.45076588 0.56851614 0.5822839  0.58134973 0.9075223  0.344763
 0.6204521  0.82012254 0.26843515 0.62360746 0.98122686 0.12954171
 0.59491205 0.9274017  0.04553547]",pushup,"47.38734436035156,16.725906372070312,4.736244201660156,3.251251220703125,3.780131757259369,16.0030460357666"
"[0.8465106  0.11317018 0.61057585 0.82138455 0.10018441 0.7785345
 0.82094175 0.10354565 0.78507006 0.77374035 0.12552327 0.82185227
 0.7697942  0.12893061 0.75466007 0.7633005  0.19907776 0.7074818
 0.7487345  0.20407642 0.60595495 0.69101596 0.32760584 0.43802688
 0.6850128  0.32135195 0.49684474 0.89537656 0.32082158 0.90205324
 0.8763801  0.31970784 0.30593663 0.7268417  0.46128207 0.67781305
 0.72768503 0.46052033 0.59489864 0.78368294 0.65190166 0.8214278
 0.77394897 0.6470136  0.66064596 0.7505868  0.8320001  0.72419184
 0.74243635 0.81579375 0.7143228 ]",pushup,"24.508094787597656,27.017051696777344,18.62471008300781,24.520225524902344,60.990330427885056,58.74511408805847"
"[0.09464499 0.4615538  0.87684304 0.08747807 0.48129824 0.8215417
 0.08720618 0.43798164 0.83408606 0.12082703 0.5069765  0.87165
 0.12276044 0.4049468  0.67669624 0.20829266 0.569249   0.8103002
 0.20283929 0.34211016 0.86834586 0.2505683  0.7103342  0.91781753
 0.24752694 0.22248602 0.63353974 0.12695687 0.65483594 0.89525723
 0.12878172 0.24458408 0.869766   0.37589377 0.5211515  0.69140095
 0.37688538 0.35744655 0.7767724  0.6299529  0.53909093 0.79071355
 0.62941974 0.34455505 0.7393203  0.83475816 0.5650542  0.70574886
 0.8401325  0.31575274 0.5610179 ]",standingFront,"4.861175537109375,3.18585205078125,172.04193115234375,159.94874572753906,58.97399139404297,49.140533447265625"
"[0.35607105 0.5761265  0.5961066  0.34194875 0.58659244 0.5783352
 0.3444784  0.5676418  0.46116373 0.3444869  0.6166438  0.49228776
 0.35068852 0.5684113  0.49432278 0.39857158 0.6568457  0.6218699
 0.4054928  0.5461027  0.58782375 0.48302603 0.6489028  0.59660286
 0.48975262 0.5380316  0.508024   0.5040192  0.5968614  0.23597364
 0.5038122  0.5485064  0.24032506 0.56954736 0.6316741  0.42001712
 0.575956   0.55630946 0.29532164 0.5263093  0.6136726  0.33400115
 0.5317583  0.5488985  0.27727175 0.6635234  0.62648934 0.2738442
 0.6590958  0.58513117 0.14415094]",situp,"6.364546775817871,17.26732063293457,6.092041969299316,149.021240234375,137.84120845794678,62.65828943252564"
"[0.28518245 0.5220939  0.7954368  0.26633272 0.5375846  0.7081593
 0.2656889  0.5373132  0.67769295 0.28206527 0.5840753  0.8507669
 0.28087297 0.58012885 0.7672622  0.36005986 0.5888722  0.7282443
 0.35840395 0.58477145 0.7378528  0.40735558 0.41754937 0.5915597
 0.39698267 0.42441222 0.691647   0.38878465 0.27954075 0.5585074
 0.3758929  0.28944653 0.81284547 0.59984165 0.7380953  0.88525516
 0.58929557 0.7285887  0.68986404 0.5358731  0.515995   0.5916859
 0.5287572  0.51639086 0.72048557 0.72695804 0.634949   0.80777764
 0.6928518  0.6202721  0.78341955]",squat,"41.740821838378906,42.02967834472656,42.15909576416016,42.03752136230469,22.40821075439453,23.09668731689453"
"[0.5111912  0.73090345 0.5808201  0.49335617 0.7430625  0.7571794
 0.49398965 0.73947215 0.6908464  0.4899207  0.7920839  0.7708662
 0.48990077 0.7856567  0.6235029  0.5583219  0.8066083  0.67355216
 0.55750257 0.79122174 0.74339664 0.6062346  0.648355   0.6021755
 0.59462315 0.6802089  0.2547938  0.60243374 0.64714754 0.44967726
 0.5964414  0.6517653  0.27558774 0.7239443  0.6423949  0.67731977
 0.71824586 0.6485573  0.56368685 0.56681526 0.46879995 0.8810967
 0.56605643 0.46576318 0.7122729  0.6974724  0.31924844 0.5786085
 0.6949425  0.32343376 0.755312  ]",situp,"81.94216918945312,83.29214477539062,88.18983459472656,87.39450073242188,14.831336975097656,89.22002410888672"
"[0.6265521  0.13479899 0.8103794  0.5974555  0.13437408 0.4923389
 0.60082585 0.12196449 0.63083506 0.52998424 0.18441525 0.75080335
 0.53557056 0.15798245 0.7251913  0.5271316  0.30872685 0.6510767
 0.49333102 0.21335876 0.84638226 0.65433836 0.4016581  0.7790636
 0.6633527  0.27934086 0.53224105 0.83883286 0.3473012  0.90610325
 0.7958643  0.2573183  0.8564269  0.49270368 0.51642597 0.78447396
 0.4850819  0.46773377 0.6495597  0.5899364  0.6757093  0.63589203
 0.58529013 0.6189711  0.55761516 0.6261373  0.8390079  0.841588
 0.61841786 0.7514239  0.6084675 ]",pushup,"19.485870361328125,18.902000427246094,35.38541412353516,40.81320190429688,149.35379314422607,127.4335479736328"
"[0.3481302  0.6022275  0.77538866 0.33447182 0.60453033 0.7767943
 0.33199927 0.5838739  0.70144695 0.33772528 0.5780848  0.5746238
 0.33496082 0.54079604 0.80210763 0.4054196  0.54789716 0.69677174
 0.4142665  0.5307706  0.63239783 0.52720416 0.60407203 0.32384026
 0.54450196 0.6128546  0.6992871  0.44164127 0.6619257  0.4532951
 0.44426838 0.67640275 0.62242645 0.61031216 0.55791664 0.42117748
 0.6419875  0.5574412  0.6043156  0.45198324 0.69551903 0.59838855
 0.45870426 0.69535226 0.75151604 0.5888927  0.82852256 0.52435577
 0.59499    0.8302695  0.76703745]",situp,"98.3295555114746,94.83543395996094,136.36042404174805,136.20675659179688,115.4031219482422,121.17306518554688"
"[0.264217   0.54909664 0.6421955  0.24415119 0.55722564 0.83441675
 0.24282527 0.5504448  0.72137046 0.23833078 0.6043594  0.7251191
 0.23638421 0.5939183  0.5176883  0.33625662 0.6429693  0.6507705
 0.33400032 0.6388015  0.7869043  0.34439662 0.44728965 0.48337126
 0.34411538 0.44803587 0.6486674  0.33604297 0.3175619  0.38625902
 0.33611894 0.32196525 0.71066993 0.5997031  0.7983872  0.76434386
 0.5942878  0.7924425  0.523299   0.6134512  0.56880856 0.8301354
 0.6048091  0.5674313  0.65790564 0.84105426 0.69229573 0.70457536
 0.79953593 0.67280066 0.5922397 ]",squat,"64.25869750976562,64.94474029541016,62.1248779296875,62.888893127441406,6.66448974609375,6.066452026367188"
"[0.5564126  0.3252328  0.24377233 0.5485164  0.31819984 0.27171013
 0.5484825  0.31553245 0.22570623 0.5653278  0.30381054 0.42319462
 0.56511915 0.28942075 0.2916006  0.5786403  0.31266975 0.37156624
 0.59035766 0.31150767 0.34259215 0.5876939  0.3431972  0.19471349
 0.60206705 0.33926156 0.2536797  0.5985094  0.35298154 0.25867978
 0.6025136  0.3518841  0.37837386 0.5851248  0.46599242 0.34308428
 0.60200256 0.46622083 0.30040312 0.5044891  0.5679725  0.47910285
 0.49719587 0.5716568  0.55879474 0.5984013  0.63025445 0.2971388
 0.5988437  0.63472825 0.4063804 ]",situp,"103.00931930541992,94.78134155273438,49.13290023803711,40.75521087646485,20.84877014160156,31.34650039672852"
"[0.19268887 0.7448787  0.67161345 0.17168958 0.74873036 0.34516013
 0.17260638 0.716959   0.41052377 0.18176179 0.7250582  0.09814142
 0.19015208 0.63776547 0.4881198  0.30136624 0.7149168  0.6572637
 0.29874617 0.5741161  0.7502591  0.31988776 0.72488457 0.1038816
 0.35687682 0.45788983 0.19893835 0.27372885 0.764058   0.3276952
 0.30106735 0.47458482 0.3025955  0.5433489  0.55508494 0.74710035
 0.5476226  0.44237113 0.68170977 0.5571615  0.7530518  0.7835551
 0.65870374 0.5547113  0.76632786 0.7603267  0.6154539  0.54670364
 0.87270665 0.42800328 0.63316524]",squat,"104.04794311523438,59.88252258300781,106.78219604492188,60.5460205078125,46.773868560791016,111.3920669555664"
"[0.41196755 0.81699157 0.7325178  0.37057903 0.8306912  0.73724866
 0.36234242 0.8100061  0.69482714 0.31554297 0.77724946 0.6170748
 0.300686   0.7383592  0.6501765  0.4274103  0.71958506 0.6400451
 0.3343275  0.6238976  0.8653364  0.6316032  0.6873571  0.9481529
 0.5705942  0.4912041  0.55121756 0.8436904  0.68820214 0.9069899
 0.90497154 0.5446048  0.8792078  0.59964037 0.43935254 0.6661416
 0.5695107  0.3673552  0.76169664 0.6998481  0.28966117 0.6776441
 0.6668195  0.21554008 0.87241805 0.7602165  0.18345799 0.8872977
 0.7514371  0.11180221 0.90115726]",pushup,"6.545036315917969,4.184593200683594,9.854164123535156,2.2247390747070312,141.60669136047363,170.80266451835632"
"[0.55250365 0.18467438 0.63570833 0.5630525  0.16767806 0.6449191
 0.56825536 0.16083577 0.57892454 0.6189646  0.16513655 0.7243441
 0.6324277  0.14898023 0.7008112  0.5979845  0.25697404 0.70553607
 0.6707323  0.23585533 0.6864241  0.5135788  0.2166738  0.81116766
 0.6977708  0.0439141  0.8531997  0.6083962  0.16494799 0.5739591
 0.6735303  0.1357949  0.6171106  0.5926569  0.55809546 0.71161634
 0.63698936 0.5753315  0.70078105 0.4045605  0.674643   0.82386243
 0.4093176  0.74195707 0.90563333 0.63568246 0.7687581  0.7131128
 0.6552265  0.8332562  0.89059097]",situp,"123.4322395324707,126.06034088134766,48.12442398071289,57.20338439941406,6.760917663574219,125.863618850708"
"[0.3607602  0.5544235  0.7225232  0.3455826  0.5754194  0.6235825
 0.34013045 0.55028033 0.7984664  0.35583207 0.6220296  0.6752182
 0.34558678 0.5646045  0.46240205 0.43795797 0.64178616 0.79612494
 0.39827704 0.5373211  0.76243705 0.44623303 0.52127415 0.6125158
 0.41183028 0.43786925 0.22602855 0.3832754  0.4245955  0.7480891
 0.38566825 0.4106579  0.26924378 0.6041997  0.52545947 0.5955208
 0.57675856 0.47000062 0.6074698  0.41918352 0.32876992 0.51735127
 0.4208116  0.31533435 0.64708775 0.6647481  0.28727132 0.49359637
 0.62329304 0.20947179 0.54499954]",situp,"107.63449096679688,123.6563720703125,114.57052612304688,98.26612854003906,51.63413238525391,37.00048828125"
"[0.4324129  0.64751387 0.60851777 0.41227186 0.6550442  0.5795557
 0.41285253 0.64963424 0.6592803  0.4044317  0.7108818  0.74687415
 0.40423906 0.69753575 0.5253286  0.4583776  0.7809785  0.4862182
 0.44810328 0.7067481  0.6104703  0.5990832  0.7646258  0.6307041
 0.57943594 0.72951925 0.46261504 0.6986478  0.7241722  0.33102435
 0.6826491  0.69157195 0.3777437  0.5745992  0.9383961  0.43707708
 0.58955735 0.84811807 0.39961308 0.75732255 0.917743   0.5728963
 0.56182986 0.5404307  0.4302408  0.6858348  0.9680144  0.34172353
 0.72492373 0.7294273  0.25297374]",situp,"35.64306640625,28.666793823242188,39.86769104003906,119.98973846435548,149.977126121521,15.483020782470703"
"[0.48337    0.7645133  0.54238904 0.48797935 0.7812587  0.6307999
 0.48227304 0.77345496 0.5648585  0.52797997 0.8008379  0.69572526
 0.5045471  0.78069067 0.38655555 0.5594506  0.795928   0.71627295
 0.48341995 0.67247635 0.62466425 0.65055346 0.77333134 0.9063837
 0.5110815  0.5482603  0.67670316 0.5334006  0.7466414  0.41399184
 0.46449685 0.54880595 0.15586314 0.6290288  0.5473707  0.66614586
 0.57384723 0.47863328 0.5060634  0.52722305 0.4609915  0.54009163
 0.48295546 0.3839944  0.75889695 0.75781274 0.2947724  0.8306881
 0.6515361  0.23649485 0.7025103 ]",situp,"92.65867614746094,103.90066528320312,68.85189819335938,65.32479858398438,76.77457427978516,153.2356081008911"
