ingredient,cal,protein,fat,carb,fiber,category,,,,,,,,,,,,,
"Buah kom, segar",264,4.0,1.1,59.6,9.0,vegan,,,,,,,,,,,,,
"Buah mentega
(Bisbul), segar",39,0.7,0.2,9.7,2.0,vegan,,,,,,,,,,,,,
"Buah Naga Merah,
segar",71,1.7,3.1,9.1,3.2,vegan,,,,,,,,,,,,,
"Buah Naga Putih,
segar",56,0.8,1.0,10.9,3.2,vegan,,,,,,,,,,,,,
"Buah negri, segar",55,1.2,0.1,12.2,5.2,vegan,,,,,,,,,,,,,
"Buah nona, segar",101,1.7,0.6,25.2,2.8,vegan,,,,,,,,,,,,,
"Buah rotan, segar",78,0.6,0.3,18.2,,vegan,,,,,,,,,,,,,
"Buah rukam, segar",113,0.8,0.3,26.8,7.7,vegan,,,,,,,,,,,,,
"Buah ruruhi, segar",29,2.1,0.7,3.6,2.6,vegan,,,,,,,,,,,,,
"Buah tuppa, segar",67,0.4,0.2,15.9,,vegan,,,,,,,,,,,,,
"Carica papaya, segar",24,1.9,0.2,3.7,1.0,vegan,,,,,,,,,,,,,
"Cempedak, segar",116,3.0,0.4,28.6,3.4,vegan,,,,,,,,,,,,,
"Duku, segar",63,1.0,0.2,16.1,4.3,vegan,,,,,,,,,,,,,
"Durian, segar",134,2.5,3.0,28.0,3.5,vegan,,,,,,,,,,,,,
"Duwet, segar",80,0.5,0.6,18.2,0.9,vegan,,,,,,,,,,,,,
"Embacang, segar",98,1.4,0.2,25.4,1.9,vegan,,,,,,,,,,,,,
"Encung asam, segar",122,3.5,4.5,17.5,9.3,vegan,,,,,,,,,,,,,
"Erbis, segar",70,0.6,0.0,18.9,7.7,vegan,,,,,,,,,,,,,
Gandaria masak,68,0.7,0.1,18.0,2.2,vegan,,,,,,,,,,,,,
"Gatep, segar",191,4.5,1.5,39.7,13.4,vegan,,,,,,,,,,,,,
"Jambu air, segar",46,0.6,0.2,11.8,2.1,vegan,,,,,,,,,,,,,
Jambu biji,49,0.9,0.3,12.2,2.4,vegan,,,,,,,,,,,,,
"Jambu bj putih tdk
brbj",61,0.9,0.3,15.4,4.5,vegan,,,,,,,,,,,,,
"Jambu bol, segar",49,2.3,0.2,9.6,3.5,vegan,,,,,,,,,,,,,
"Jambu monyet, segar",64,0.7,0.6,15.8,1.2,vegan,,,,,,,,,,,,,
"Jeruk bali, segar",48,0.6,0.2,12.4,0.8,vegan,,,,,,,,,,,,,
"Jeruk banjar, segar",61,0.8,0.2,14.1,5.4,vegan,,,,,,,,,,,,,
Jeruk garut-keprok,44,0.8,0.3,10.9,1.6,vegan,,,,,,,,,,,,,
"Jeruk Kalamansi, segar",39,0.3,0.3,8.9,2.3,vegan,,,,,,,,,,,,,
"Jeruk manis, segar",45,0.9,0.2,11.2,1.4,vegan,,,,,,,,,,,,,
"Jeruk nipis, segar",44,0.5,0.2,10.0,0.4,vegan,,,,,,,,,,,,,
"Jeruk ragi, segar",49,0.7,0.2,11.1,0.5,vegan,,,,,,,,,,,,,
"Kawista, segar",120,3.5,2.5,20.8,4.6,vegan,,,,,,,,,,,,,
"Kedondong masak,
segar",46,1.0,0.1,10.3,2.6,vegan,,,,,,,,,,,,,
"Kedondong, segar",47,0.5,0.2,10.4,2.7,vegan,,,,,,,,,,,,,
"Kelapa hutan, kering",623,2.0,"52.
1",36.5,15.3,vegan,,,,,,,,,,,,,
"Kelapa muda, daging,
segar",68,1.0,0.9,14.0,0.0,vegan,,,,,,,,,,,,,
"Kemang, segar",48,1.0,0.2,11.9,1.7,vegan,,,,,,,,,,,,,
"Kesemek, segar",78,0.8,0.4,20.0,0.6,vegan,,,,,,,,,,,,,
"Kokosan, segar",86,1.6,0.2,13.0,1.4,vegan,,,,,,,,,,,,,
"Kranji, segar",315,2.1,1.4,73.5,3.6,vegan,,,,,,,,,,,,,
"Langsat, segar",56,0.9,0.2,14.3,1.4,vegan,,,,,,,,,,,,,
"Lemon, segar",34,0.5,0.8,6.2,0.1,vegan,,,,,,,,,,,,,
"Lontar, segar",27,0.4,0.2,6.0,1.6,vegan,,,,,,,,,,,,,
"Mangga, segar",52,0.7,0.0,12.3,1.6,vegan,,,,,,,,,,,,,
"Mangga benggala,
segar",63,2.4,0.4,12.4,5.8,vegan,,,,,,,,,,,,,
"Mangga gedung, segar",44,0.7,0.2,11.2,1.6,vegan,,,,,,,,,,,,,
"Mangga golek, segar",63,0.5,0.2,16.7,2.3,vegan,,,,,,,,,,,,,
"Mangga harumanis,
segar",46,0.4,0.2,11.9,1.7,vegan,,,,,,,,,,,,,
"Mangga indramayu,
segar",72,0.8,0.2,18.7,2.5,vegan,,,,,,,,,,,,,
"Mangga kopek, segar",56,0.4,0.2,14.6,2.0,vegan,,,,,,,,,,,,,
"Mangga kwini, segar",86,0.7,0.5,19.8,6.5,vegan,,,,,,,,,,,,,
"Mangga manalagi,
segar",133,1.0,0.1,32.1,11.8,vegan,,,,,,,,,,,,,
"Mangga muda, segar",59,0.5,0.4,15.1,,vegan,,,,,,,,,,,,,
"Manggis, segar",63,0.6,0.6,15.6,1.5,vegan,,,,,,,,,,,,,
"Markisa, segar",144,3.5,1.2,29.8,11.4,vegan,,,,,,,,,,,,,
"Matoa, segar",90,1.2,0.1,21.1,0.5,vegan,,,,,,,,,,,,,
"Melon, segar",37,0.6,0.4,7.8,1.0,vegan,,,,,,,,,,,,,
"Menteng, segar",65,1.7,0.3,16.1,,vegan,,,,,,,,,,,,,
"Nanas palembang,
segar",58,0.7,0.2,13.3,1.6,vegan,,,,,,,,,,,,,
"Nanas, segar",40,0.6,0.3,9.9,0.6,vegan,,,,,,,,,,,,,
"Nangka masak pohon,
segar",106,1.2,0.3,27.6,3.7,vegan,,,,,,,,,,,,,
"Pala, daging, segar",42,0.3,0.2,10.9,0.5,vegan,,,,,,,,,,,,,
"Pepaya, segar",46,0.5,12.0,12.2,1.6,vegan,,,,,,,,,,,,,
"Pisang ambon, segar",108,1.0,0.8,24.3,1.9,vegan,,,,,,,,,,,,,
"Pisang angleng (pisang
ampyang), segar",68,1.3,0.2,17.2,0.8,vegan,,,,,,,,,,,,,
"Pisang ayam, segar",120,1.1,0.2,26.8,4.1,vegan,,,,,,,,,,,,,
"Pisang gapi, segar",131,1.6,0.1,31.1,11.7,vegan,,,,,,,,,,,,,
"Pisang goroho, segar",119,1.5,0.2,27.9,4.6,vegan,,,,,,,,,,,,,
"Pisang hijau, segar",121,1.0,0.1,28.9,0.4,vegan,,,,,,,,,,,,,
"Pisang kayu, segar",100,1.4,0.5,23.6,2.6,vegan,,,,,,,,,,,,,
"Pisang kepok, segar",109,0.8,0.5,26.3,5.7,vegan,,,,,,,,,,,,,
"Pisang ketip, segar",145,1.1,0.3,34.5,6.6,vegan,,,,,,,,,,,,,
"Pisang kidang, segar",96,1.0,0.2,22.5,0.6,vegan,,,,,,,,,,,,,
"Pisang lampung, segar",99,1.3,0.2,25.6,4.3,vegan,,,,,,,,,,,,,
"Pisang mas bali
ampenan, segar",92,1.4,0.2,21.0,3.7,vegan,,,,,,,,,,,,,
"Pisang mas bali
kopang, segar",127,1.4,0.2,31.8,3.7,vegan,,,,,,,,,,,,,
"Pisang mas, segar",127,1.4,0.2,33.6,1.4,vegan,,,,,,,,,,,,,
"Pisang raja sereh, segar",108,1.3,0.3,28.2,0.7,vegan,,,,,,,,,,,,,
"Pisang raja, segar",120,1.2,0.2,31.8,5.3,vegan,,,,,,,,,,,,,
"Pisang rotan, segar",98,1.3,1.2,20.5,1.0,vegan,,,,,,,,,,,,,
"Pisang talas, segar",113,1.2,0.2,26.7,4.4,vegan,,,,,,,,,,,,,
Pisang tujuh bulan,94,0.6,0.2,22.5,3.7,vegan,,,,,,,,,,,,,
"Pisang ua, segar",128,0.8,0.5,30.2,8.1,vegan,,,,,,,,,,,,,
"Pisang uli, segar",134,1.1,0.5,35.5,1.4,vegan,,,,,,,,,,,,,
"Purut, segar",76,4.1,1.1,15.2,1.7,vegan,,,,,,,,,,,,,
"Rambutan binjai,
segar",76,0.5,0.2,18.0,3.8,vegan,,,,,,,,,,,,,
"Rambutan, segar",69,0.9,0.1,18.1,0.8,vegan,,,,,,,,,,,,,
"Salak bali, segar",57,0.5,0.1,13.6,1.3,vegan,,,,,,,,,,,,,
"Salak medan, segar",55,0.4,0.2,12.8,3.2,vegan,,,,,,,,,,,,,
"Salak pondoh, segar",87,0.8,0.4,20.1,0.0,vegan,,,,,,,,,,,,,
"Salak, segar",77,0.4,,20.9,,vegan,,,,,,,,,,,,,
"Sawo duren, segar",64,1.0,3.1,8.0,0.8,vegan,,,,,,,,,,,,,
"Sawo kecik, segar",111,0.9,2.3,21.6,1.0,vegan,,,,,,,,,,,,,
"Sawo Manila, segar",92,0.5,1.1,22.4,9.5,vegan,,,,,,,,,,,,,
"Semangka, segar",28,0.5,0.2,6.9,0.4,vegan,,,,,,,,,,,,,
"Sirsak, segar",65,1.0,0.3,16.3,3.2,vegan,,,,,,,,,,,,,
"Sowa, segar",48,1.6,0.6,9.1,45.0,vegan,,,,,,,,,,,,,
"Srikaya, segar",63,1.1,0.5,13.9,2.1,vegan,,,,,,,,,,,,,
"Sukun muda, segar",119,1.4,0.2,28.1,1.4,vegan,,,,,,,,,,,,,
"Sukun tua, segar",126,1.6,0.2,24.5,1.5,vegan,,,,,,,,,,,,,
"Vigus, segar",44,2.4,0.1,8.3,,vegan,,,,,,,,,,,,,
"Wani, segar",74,0.8,0.3,17.1,3.1,vegan,,,,,,,,,,,,,
Barongko,159,3.1,5.8,23.5,,vegan,,,,,,,,,,,,,
Dodol nanas,338,1.5,1.2,80.3,,vegan,,,,,,,,,,,,,
Getuk pisang,144,1.1,0.4,34.1,0.4,vegan,,,,,,,,,,,,,
Keripik lampung,485,1.7,"22.
2",69.7,0.6,vegan,,,,,,,,,,,,,
Ledre pisang,405,4.8,5.1,84.9,0.4,vegan,,,,,,,,,,,,,
Lempog durian,320,3.5,5.7,63.7,4.9,vegan,,,,,,,,,,,,,
Loka anjoro,163,1.1,4.3,30.0,,vegan,,,,,,,,,,,,,
Rica-rica taipa,49,1.6,0.3,10.0,,vegan,,,,,,,,,,,,,
Rujak aceh,82,0.4,0.3,19.7,2.4,vegan,,,,,,,,,,,,,
Sale kesemek,296,1.1,0.6,71.4,,vegan,,,,,,,,,,,,,
Sale pisang siam,281,2.4,0.7,66.1,1.0,vegan,,,,,,,,,,,,,
"Sale pisang, cilacap",295,2.3,2.1,66.9,1.3,vegan,,,,,,,,,,,,,
Sanggara belanda,242,6.4,7.1,38.2,,vegan,,,,,,,,,,,,,
Tepung Pisang,338,2.9,0.4,80.6,5.3,vegan,,,,,,,,,,,,,
Tepung Sukun,353,2.9,0.5,84.4,3.7,vegan,,,,,,,,,,,,,
"Anak sapi, daging, gemuk, segar",184,18.8,14.0,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Anak sapi, daging, kurus, segar",174,19.6,10.0,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Anak sapi, daging, sedang, segar",190,19.1,12.0,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Angsa, daging, segar",349,16.4,31.5,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Ayam, daging, segar",298,18.2,25.0,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Ayam, dideh/darah,
segar",75,13.8,1.9,0.7,0.0,non-vegan,,,,,,,,,,,,,
"Ayam, hati, segar",261,27.4,16.1,1.6,0.0,non-vegan,,,,,,,,,,,,,
"Babi, daging,
gemuk,segar",453,11.9,45.0,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Babi, daging, kurus,
segar",371,14.1,35.0,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Babi, ginjal, segar",110,16.3,4.6,0.8,0.0,non-vegan,,,,,,,,,,,,,
"Babi, hati, segar",129,19.7,4.8,1.7,0.0,non-vegan,,,,,,,,,,,,,
"Bebek (itik), daging,
segar",321,16.0,28.6,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Bebek alabio, daging,
segar",303,11.3,27.0,3.7,0.0,non-vegan,,,,,,,,,,,,,
"Belibis, daging, segar",131,20.2,4.3,2.8,0.0,non-vegan,,,,,,,,,,,,,
"Burung, sarang, segar",281,37.5,0.3,32.1,,non-vegan,,,,,,,,,,,,,
"Domba, daging,
gemuk, segar",317,15.7,27.7,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Domba, daging, kurus,
segar",202,17.1,14.8,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Domba, ginjal, segar",100,16.6,3.3,1.0,0.0,non-vegan,,,,,,,,,,,,,
"Kambing, daging,
segar",149,16.6,9.2,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Kelinci, daging, segar",142,16.9,7.8,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Kerbau, daging, segar",79,18.7,0.5,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Kuda, daging, segar",113,18.1,4.1,0.9,0.0,non-vegan,,,,,,,,,,,,,
"Sapi, babat, segar",108,17.6,4.2,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Sapi, daging, gemuk,
segar",273,17.5,22.0,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Sapi, daging, kurus,
segar",174,19.6,10.0,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Sapi, daging, lemak
sedang, segar",201,18.8,14.0,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Sapi, daleman, segar",183,12.0,14.4,1.4,0.0,non-vegan,,,,,,,,,,,,,
"Sapi, dideh/darah",98,21.9,1.1,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Sapi, ginjal, segar",137,15.0,8.1,0.9,0.0,non-vegan,,,,,,,,,,,,,
"Sapi, keleponan, segar",84,10.5,4.6,0.2,0.0,non-vegan,,,,,,,,,,,,,
"Sapi, liver, segar",132,19.7,3.2,6.0,0.0,non-vegan,,,,,,,,,,,,,
"Sapi, otak, segar",123,10.4,8.6,0.8,0.0,non-vegan,,,,,,,,,,,,,
"Sapi, usus, segar",126,14.0,7.2,1.5,0.0,non-vegan,,,,,,,,,,,,,
Ulat sagu segar,241,5.8,21.6,5.8,2.8,non-vegan,,,,,,,,,,,,,
"Ayam, ampela, goreng",270,32.3,11.2,9.9,0.0,non-vegan,,,,,,,,,,,,,
"Ayam, usus, goreng",473,45.2,26.3,13.9,0.0,non-vegan,,,,,,,,,,,,,
"Bebek, daging, goreng",300,24.0,20.7,4.5,0.0,non-vegan,,,,,,,,,,,,,
"Buaya, daging,
dendeng, mentah",365,49.6,4.8,30.8,,non-vegan,,,,,,,,,,,,,
Ham,384,16.9,35.0,0.3,0.0,non-vegan,,,,,,,,,,,,,
"Itik alabio, daging,
dendeng, mentah",496,30.3,33.5,18.4,,non-vegan,,,,,,,,,,,,,
Kerupuk urat,588,53.7,40.9,1.2,,non-vegan,,,,,,,,,,,,,
"Menjangan, daging,
dendeng, mentah",322,55.8,2.0,22.7,,non-vegan,,,,,,,,,,,,,
"Punai, daging, goreng",224,26.2,11.3,4.4,,non-vegan,,,,,,,,,,,,,
"Rusa, daging,
dendeng, mentah",536,40.5,41.5,0.0,,non-vegan,,,,,,,,,,,,,
"Sapi, abon",212,18.0,10.6,59.3,7.5,non-vegan,,,,,,,,,,,,,
"Sapi, abon, asli",358,14.6,16.1,38.6,2.5,non-vegan,,,,,,,,,,,,,
"Sapi, daging, asap",182,32.0,6.0,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Sapi, daging, dendeng,
mentah",301,55.0,9.0,0.0,,non-vegan,,,,,,,,,,,,,
"Sapi, daging, kornet",289,16.0,25.0,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Sapi, daging, sosis
(Worst)",448,14.5,42.3,2.3,,non-vegan,,,,,,,,,,,,,
"Sapi, hati, sosis
(liverworst)",274,16.0,22.0,3.0,2.3,non-vegan,,,,,,,,,,,,,
"Sapi, paru, dendeng,
mentah",360,57.3,6.0,19.2,,non-vegan,,,,,,,,,,,,,
"Sapi, paru, goreng",268,23.9,12.7,14.5,,non-vegan,,,,,,,,,,,,,
"Ulat sagu, panggang",380,11.9,30.3,14.9,4.8,non-vegan,,,,,,,,,,,,,
"Ayam goreng church
texas, dada",338,35.2,20.6,0.4,0.0,non-vegan,,,,,,,,,,,,,
"Ayam goreng
church,texas paha",287,31.0,15.7,1.7,0.0,non-vegan,,,,,,,,,,,,,
"Ayam goreng church
texas, sayap",295,34.0,16.0,1.5,0.0,non-vegan,,,,,,,,,,,,,
"Ayam goreng kalasan,
paha",275,37.4,12.2,1.3,0.0,non-vegan,,,,,,,,,,,,,
"Ayam goreng
kentucky, dada",298,34.2,16.8,0.1,0.0,non-vegan,,,,,,,,,,,,,
"Ayam goreng Kentucky, paha",286,32.1,16.1,1.1,0.0,non-vegan,,,,,,,,,,,,,
"Ayam  goreng Kentucky,sayap",297,35.9,15.2,1.6,0.0,non-vegan,,,,,,,,,,,,,
Ayam goreng mbok berek dada,295,39.2,13.6,1.0,0.0,non-vegan,,,,,,,,,,,,,
"Ayam goreng pasundan, dada",246,37.9,9.0,0.7,0.0,non-vegan,,,,,,,,,,,,,
"Ayam goreng pasundan, paha",245,33.1,11.4,0.3,0.0,non-vegan,,,,,,,,,,,,,
"Ayam goreng pioneer,
dada",295,37.4,14.7,0.6,0.0,non-vegan,,,,,,,,,,,,,
"Ayam goreng
sukabumi, dada",244,36.7,9.2,1.0,0.0,non-vegan,,,,,,,,,,,,,
"Ayam goreng
sukabumi, paha",283,35.7,14.3,0.5,0.0,non-vegan,,,,,,,,,,,,,
"Ayam taliwang,
masakan",264,18.2,20.1,2.7,,non-vegan,,,,,,,,,,,,,
"Babi hutan masak rica,
masakan",491,24.6,16.3,0.2,,non-vegan,,,,,,,,,,,,,
Beef burger,258,10.6,9.5,32.5,0.4,non-vegan,,,,,,,,,,,,,
"Beef teriyaki, masakan",151,8.6,3.1,22.3,0.3,non-vegan,,,,,,,,,,,,,
"Beef yakiniku, masakan",132,9.8,1.1,20.7,0.3,non-vegan,,,,,,,,,,,,,
Brongkos,141,15.3,3.3,12.6,1.0,non-vegan,,,,,,,,,,,,,
"Bulgogi, masakan",72,11.4,4.9,1.4,1.7,non-vegan,,,,,,,,,,,,,
"Chicken teriyaki,
masakan",168,13.0,9.6,7.5,0.8,non-vegan,,,,,,,,,,,,,
"Chikiniku, masakan",143,9.8,1.4,22.8,0.4,non-vegan,,,,,,,,,,,,,
"Coto mangkasara, kuda, masakan",96,6.8,5.9,3.8,,non-vegan,,,,,,,,,,,,,
"Coto mangkasara,
sapi, masakan",84,6.0,6.0,1.4,,non-vegan,,,,,,,,,,,,,
"Djibokum, masakan",248,10.0,2.3,40.9,0.1,non-vegan,,,,,,,,,,,,,
"Empal (daging) Goreng, masakan",248,36.2,6.9,10.1,,non-vegan,,,,,,,,,,,,,
Gulai kambing,126,4.2,9.4,6.2,,non-vegan,,,,,,,,,,,,,
"Jangang bintatoeng,
masakan",107,5.3,2.2,16.5,,non-vegan,,,,,,,,,,,,,
"Kalio ayam, masakan",203,16.0,13.5,4.4,,non-vegan,,,,,,,,,,,,,
"Kalio jeroan, masakan",163,16.5,9.0,4.1,,non-vegan,,,,,,,,,,,,,
"Kalio kikil (tunjang),
masakan",122,13.8,5.7,3.9,,non-vegan,,,,,,,,,,,,,
"Kalio otak, masakan",157,8.1,8.8,11.4,,non-vegan,,,,,,,,,,,,,
"Lawar babi, masakan",174,17.0,10.0,3.0,0.0,non-vegan,,,,,,,,,,,,,
"Lawar penyu, masakan",141,23.0,1.5,7.6,0.0,non-vegan,,,,,,,,,,,,,
"Lawara jangang, masakan",159,5.0,10.9,10.1,,non-vegan,,,,,,,,,,,,,
"Naan maran sapi, masakan",478,38.3,33.9,5.1,,non-vegan,,,,,,,,,,,,,
"Nasu likku, masakan",196,14.5,8.3,15.9,,non-vegan,,,,,,,,,,,,,
"Oramu ninahu ndawa
olaho, masakan",117,13.7,5.0,4.3,,non-vegan,,,,,,,,,,,,,
"Paniki masak santan,
masakan",460,28.5,35.2,7.2,,non-vegan,,,,,,,,,,,,,
"Pelolah manuk,
masakan",219,19.7,13.6,4.4,,non-vegan,,,,,,,,,,,,,
"Rawon, masakan",60,5.4,2.5,4.0,,non-vegan,,,,,,,,,,,,,
"Rendang sapi,
masakan",193,22.6,7.9,7.8,0.0,non-vegan,,,,,,,,,,,,,
"RW, anjing, masakan",198,24.6,10.7,0.9,,non-vegan,,,,,,,,,,,,,
"Sate, penyu, masakan",179,22.5,3.5,13.3,0.0,non-vegan,,,,,,,,,,,,,
"Sate pusut, masakan",274,12.9,18.6,13.6,,non-vegan,,,,,,,,,,,,,
"Penyu, serapah,
masakan",174,13.1,12.2,2.2,0.0,non-vegan,,,,,,,,,,,,,
"Sie reuboh, masakan",474,11.2,42.5,11.7,,non-vegan,,,,,,,,,,,,,
"Sop buntut, masakan",71,7.5,3.6,2.2,,non-vegan,,,,,,,,,,,,,
"Sop daging sapi, masakan",49,5.8,0.5,5.3,,non-vegan,,,,,,,,,,,,,
"Sop kaki sapi, masakan",68,9.0,1.9,3.7,,non-vegan,,,,,,,,,,,,,
"Sop kambing,
masakan",34,5.5,0.8,1.1,,non-vegan,,,,,,,,,,,,,
"Sop konro, masakan",71,7.4,2.6,4.5,,non-vegan,,,,,,,,,,,,,
"Sop saudara, masakan",89,7.2,5.0,3.9,,non-vegan,,,,,,,,,,,,,
"Soto bandung,
masakan",42,3.9,1.7,2.8,0.4,non-vegan,,,,,,,,,,,,,
"Soto banjar, masakan",110,2.9,9.5,3.2,,non-vegan,,,,,,,,,,,,,
"Soto betawi, masakan",135,2.5,8.8,11.5,0.5,non-vegan,,,,,,,,,,,,,
"Soto jeroan, masakan",92,11.8,4.3,1.4,,non-vegan,,,,,,,,,,,,,
"Soto kudus, masakan",38,2.6,2.3,1.8,0.2,non-vegan,,,,,,,,,,,,,
"Soto madura,
masakan",60,3.5,4.5,1.3,0.0,non-vegan,,,,,,,,,,,,,
"Soto padang, masakan",127,5.9,6.6,11.0,0.7,non-vegan,,,,,,,,,,,,,
"Soto pekalongan, masakan",94,3.0,6.8,5.1,0.3,non-vegan,,,,,,,,,,,,,
"Soto pemalang, masakan",75,3.6,5.2,3.5,0.0,non-vegan,,,,,,,,,,,,,
"Soto sukaraja, masakan",80,3.2,3.5,9.0,0.3,non-vegan,,,,,,,,,,,,,
"Soto sulung, masakan",86,2.3,8.5,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Sukiyaki, masakan",75,5.6,0.4,12.2,0.2,non-vegan,,,,,,,,,,,,,
"Tedong pallu basa,
masakan",83,10.4,3.4,2.8,,non-vegan,,,,,,,,,,,,,
"Tikus rica, masakan",257,18.8,18.5,3.8,,non-vegan,,,,,,,,,,,,,
"Tinoransa, masakan",516,17.7,49.5,0.0,,non-vegan,,,,,,,,,,,,,
"Belut, segar",70,14.6,0.8,1.0,0.0,non-vegan,,,,,,,,,,,,,
"Belut,laut, segar",93,12.8,1.5,6.1,0.0,non-vegan,,,,,,,,,,,,,
"Cumi-cumi, segar",75,16.1,0.7,0.1,0.0,non-vegan,,,,,,,,,,,,,
"Ikan bader, segar",193,19.0,13.0,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Ikan balong, segar",107,16.5,3.9,1.5,0.0,non-vegan,,,,,,,,,,,,,
"Ikan bambangan, segar",112,20.0,1.3,3.7,0.0,non-vegan,,,,,,,,,,,,,
"Ikan bandeng, segar",123,20.0,4.8,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Ikan banjar, segar",111,19.4,0.9,4.8,0.0,non-vegan,,,,,,,,,,,,,
"Ikan baronang, segar",78,14.5,0.6,3.7,0.0,non-vegan,,,,,,,,,,,,,
"Ikan batung, segar",115,14.5,4.6,4.2,0.0,non-vegan,,,,,,,,,,,,,
"Ikan baung, segar",123,15.1,5.5,3.3,0.0,non-vegan,,,,,,,,,,,,,
"Ikan bawal, segar",91,19.0,1.7,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Ikan Belida, segar",80,14.7,1.4,2.2,0.0,non-vegan,,,,,,,,,,,,,
"Ikan beunteur, segar",109,17.0,4.0,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Ikan biawan, segar",90,14.9,2.5,2.1,0.0,non-vegan,,,,,,,,,,,,,
"Ikan bili, segar",88,14.2,0.7,6.2,0.0,non-vegan,,,,,,,,,,,,,
"Ikan bubara, segar",100,14.7,2.4,4.9,,non-vegan,,,,,,,,,,,,,
"Ikan bulan-bulan,
segar",134,25.5,1.3,5.0,,non-vegan,,,,,,,,,,,,,
"Ikan cakalang, segar",107,19.6,0.7,5.5,0.0,non-vegan,,,,,,,,,,,,,
"Ikan cakalang, hati, segar",120,11.3,3.9,10.0,,non-vegan,,,,,,,,,,,,,
"Ikan cakalang,
jantung, segar",116,11.2,1.2,10.2,,non-vegan,,,,,,,,,,,,,
"Ikan cakalang, perut,
segar",86,10.2,1.1,8.7,,non-vegan,,,,,,,,,,,,,
"Ikan daun, segar",101,11.5,4.1,4.6,0.0,non-vegan,,,,,,,,,,,,,
"Ikan ekor kuning,
segar",108,22.3,1.2,2.1,0.0,non-vegan,,,,,,,,,,,,,
"Ikan gabus, segar",80,16.2,0.5,2.6,0.0,non-vegan,,,,,,,,,,,,,
"Ikan heu, segar",81,10.0,1.6,6.6,,non-vegan,,,,,,,,,,,,,
"Ikan hitam, segar",101,10.3,3.7,6.7,0.0,non-vegan,,,,,,,,,,,,,
"Ikan hiu, segar",57,10.7,0.3,2.2,0.0,non-vegan,,,,,,,,,,,,,
"Ikan kacangan, segar",77,15.6,0.9,1.6,0.0,non-vegan,,,,,,,,,,,,,
"Ikan kakap, segar",92,20.0,0.7,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Ikan kakatua, segar",82,11.4,1.2,6.4,,non-vegan,,,,,,,,,,,,,
"Ikan kalaban, segar",77,16.4,0.7,1.3,0.0,non-vegan,,,,,,,,,,,,,
"Ikan kamera (kakap
merah), segar",86,19.7,0.8,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Ikan kapar, segar",132,17.0,6.7,0.8,0.0,non-vegan,,,,,,,,,,,,,
"Ikan kawalinya, segar",110,12.6,4.2,5.4,,non-vegan,,,,,,,,,,,,,
"Ikan keru-keru, segar",93,16.5,2.1,0.8,0.0,non-vegan,,,,,,,,,,,,,
"Ikan kima, segar",70,10.8,0.7,5.2,,non-vegan,,,,,,,,,,,,,
"Ikan lais, segar",161,11.9,11.5,2.4,0.0,non-vegan,,,,,,,,,,,,,
"Ikan layang, segar",109,22.0,1.7,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Ikan layur, segar",82,18.0,1.0,0.4,0.0,non-vegan,,,,,,,,,,,,,
"Ikan lehoma, segar",90,20.4,0.9,0.0,,non-vegan,,,,,,,,,,,,,
"Ikan lemuru, segar",112,20.0,3.0,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Ikan lidah, segar",104,15.6,3.2,2.0,0.0,non-vegan,,,,,,,,,,,,,
"Ikan malalugis, segar",99,20.6,1.4,0.9,,non-vegan,,,,,,,,,,,,,
"Ikan mamar merah,
segar",115,15.3,4.0,4.4,0.0,non-vegan,,,,,,,,,,,,,
"Ikan mas, segar",86,16.0,2.0,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Ikan mayong, segar",97,17.9,2.0,0.4,0.0,non-vegan,,,,,,,,,,,,,
"Ikan mujahir, segar",89,18.7,1.0,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Ikan nasu metti, segar",154,16.8,5.0,10.5,,non-vegan,,,,,,,,,,,,,
"Ikan oci, kembung, segar",125,21.3,3.4,2.2,,non-vegan,,,,,,,,,,,,,
